element_type,osmid,amenity,name,geometry,wikidata,addr:city,addr:district,building,name:en,website,operator,building:levels,name:bn,wikipedia,addr:postcode,addr:street,level,name:ur,wikimedia_commons,addr:housenumber,opening_hours,nodes,designation,office,addr:housename,internet_access,source,access,surface,area,operator:type,religion,grades,ways,type,ward5wknn,index,points,rank,value
node,11271170075,school,"Humming Bird International School, Gulbag R/A, Muhuri Para, Agrabad, Chattogram",POINT (91.8026383 22.3295019),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11271202783,college,"City Corporation Commerce Collage, Halishahar Rd, Chattogram",POINT (91.8038065 22.3281952),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11280676917,school,,POINT (91.808374 22.3273797),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11280734980,school,"G.R.K. Multi High School, Sheikh Mujib Rd, Chattogram",POINT (91.8119431 22.3210418),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11280736580,school,"Sardesshori Sorkari Prathomik Biddaloy, B Nag Lane, Barik Building Moor, Gosaildanga Bandar, Chattogram",POINT (91.8106976 22.3205166),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11280756509,school,"B.C.S.I.R Laboratory High School, Infront of BRTA, Natun Pada, Hathazari Road, Chattogram",POINT (91.8114798 22.3189674),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11280787934,school,"South Asiatic School & College, Bow Bazar, Chattogram",POINT (91.7923656 22.3448911),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11280827855,school,"Chittagong Liberty School and College, Eidgaon , boropukur par, Chattogram",POINT (91.7988281 22.3429526),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11280829179,school,"Halishahar modern school and College, Eidgah, Bow Bazar, Chattogram",POINT (91.7965382 22.3444919),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11280954144,school,"Childs Care Model School, Bow Bazar, Chattogram",POINT (91.799483 22.3451156),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11280961635,school,"Al-Haj Yakub Ali Girls High School & College, Eidgah, Bow Bazar, Chattogram",POINT (91.7987725 22.3447008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11280977207,school,"Alhaz Fayez Ahmed Kindergarten & High School, Fakir Golir Mor, Bowbazar, Halishahar Road, Chattogram",POINT (91.7969389 22.3429949),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11281017667,college,"Yakub Ali Girls College, Fakir Golir Mor, Bowbazar, Halishahar Road, Chattogram",POINT (91.7952939 22.3426475),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11282713050,school,"Anondipur Government Primary School, Anandipur Rd, Chattogram",POINT (91.7905133 22.3400424),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
